"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","Chi0n","Chi1n","Chi2n","Chi3n","Chi4n","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","CalculatedAbsorbance"
"CCN1C(=Cc2cc(C)nc(-c3ccccc3)[n+]2C)C=Cc2ccccc21","UBRISJAVIYTNDW-UHFFFAOYSA-N",3,0,2,0.16666666666666666,16.054301067151563,9.365606941818012,6.776648208767737,4.960886500653731,3.6003182209742084,3,2,3,354.47700000000003,14,232.78604882176347,13.630714105043726,13,2,593
"CC1=C/C(=C(/c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O","KXOWVZNVTQLQPD-XMHGGMMESA-K",2,1,8,0.08695652173913043,17.240250363191734,9.331527881740039,7.260798549608227,5.000742012668255,3.5155806782501005,10,0,5,467.4310000000002,18,97.29578327936441,11.3579367724015,10,2,454
"CC1=CC(=C(c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O","KXOWVZNVTQLQPD-UHFFFAOYSA-K",2,1,8,0.08695652173913043,17.240250363191734,9.331527881740039,7.260798549608227,5.000742012668255,3.5155806782501005,10,0,5,467.4310000000002,18,82.6366810628424,11.271218758378707,10,2,419
"CCN1C(=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21","AGJZCWVTGOVGBS-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.994514298021482,6.266884658810142,4.873973775201973,3.6663991501645126,2,2,3,327.451,13,152.9461050639101,12.881131870526325,12,2,542
"CC1(C)C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21","MGIODCZGPVDROX-UHFFFAOYSA-M",2,0,15,0.4444444444444444,36.57117492711916,21.335771427530695,17.212220194594288,11.957358531659924,8.50221653182068,20,4,19,936.0509999999995,23,1291.784706785236,25.024288210133733,16,6,574
"C#CCN=C(O)CCCCCN1C(=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21","ZAEMCWBMKGHPLO-UHFFFAOYSA-O",2,1,2,0.3939393939393939,22.95969829939463,13.315809304050413,11.038457168085088,7.882943029198291,5.859816662604782,4,2,9,494.70300000000026,15,373.25333857304656,17.24209718362008,14,4,528
"C[N+]1=C(C=CC=C2N(CCCCC(O)=NCCOCCOCCNCCO[C@H]3OC(CO)[C@@H](O)[C@H](O)C3O)c3ccccc3C2(C)C)C(C)(C)c2ccccc21","SSFADTFCQMBTSO-IHRPVSEJSA-O",2,6,11,0.5813953488372093,33.640694388314245,19.863576073265,15.589084902195157,11.01461768393959,7.82906299334815,13,3,21,779.9960000000001,14,1600.5061793753853,27.76655595342642,14,4,544
"CC1(C)C(=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21","OHOQEZWSNFNUSY-UHFFFAOYSA-M",2,0,15,0.46511627906976744,35.416474388739914,20.66910476086403,16.827320015134536,11.735136309437705,8.37506791323208,20,4,18,910.0129999999996,22,400.3408426266562,20.164018534667477,14,4,432
"CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC([O-])=NCCCCCCN2C(=O)C=CC2=O)c2ccc(S(=O)(=O)[O-])cc21","ABCCZQUSYBNXBH-UHFFFAOYSA-K",2,0,14,0.45454545454545453,35.81762717503454,20.790442848136024,16.777734048767744,11.561331976440904,8.251476837639435,19,3,22,926.1249999999995,22,1293.8401597851341,26.265236010807488,16,6,558
"CCN1C=CC(=Cc2cc[n+](CC)c3ccccc23)c2ccccc21","PBYSOAALDIVUSK-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.98634821282622,6.292825576489204,4.909425893765219,3.5878747984230657,2,2,3,327.451,13,233.67399845509706,13.753875375649896,10,2,641
"CC(C)N1C=CC(=Cc2ccc3ccccc3[n+]2C(C)C)c2ccccc21","TYFOKKOWQOKKCH-UHFFFAOYSA-N",3,0,1,0.24,16.554681228844306,9.769561017269908,7.714349381244309,5.192159694303204,3.945438135382775,2,2,3,355.5050000000001,13,182.87075519403348,13.68971612231898,11,2,560
"CC[n+]1c(CC2C=C(C)N=C(c3ccccc3)N2C)ccc2ccccc12","WNJQWMVHCPGIAR-UHFFFAOYSA-N",3,0,2,0.25,16.26140784833811,9.629308644421226,7.119606029084127,5.343417887361926,3.952621656238917,3,2,4,356.49300000000005,13,241.91935716502718,15.447635670367166,7,1,382
"CC1(C)C(=CC=CC=CC2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)[O-])c2ccc(S(=O)(=O)O)cc21","KCJWQEQRJODNIT-UHFFFAOYSA-M",2,2,9,0.43243243243243246,29.293258059589817,16.88087589324629,13.908608936337176,9.578540912371462,6.903412244384227,14,2,17,741.9050000000001,17,916.9850448437077,20.16225923375919,16,6,389
"CN1C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21","QDXSFIRROAQGSO-UHFFFAOYSA-M",2,0,11,0.3888888888888889,29.041220701457952,16.459812722971265,13.763788822545196,9.636983051015875,6.900769759293469,15,3,12,738.8610000000001,19,590.0778689848868,21.669425337089937,16,6,532
"O=S(=O)(O)c1cc([O-])c(N=Nc2ccc3ccccc3c2O)c2ccccc12","BRDGZOLJYALNOY-UHFFFAOYSA-M",4,2,6,0.,14.272700504941172,8.187710612974026,6.096527017859179,4.358159259140727,3.0471307659700475,8,0,3,393.4000000000001,16,108.99527987474582,10.894452324204622,12,3,730
"CCOc1ccc(Nc2ccc(C(=C3C=CC(=[N+](CC)Cc4cccc(S(=O)(=O)O)c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)O)c4)cc3C)cc2)cc1","YVNQAIFQFWTPLQ-UHFFFAOYSA-O",5,3,7,0.2127659574468085,33.883832243351364,19.484950956549714,14.306483807482484,10.219445402699668,7.2149335164457655,12,0,15,833.065,24,423.91976879122495,24.849035438249622,15,2,539
"O=S(=O)(O)c1cc(O)c(N=Nc2c([O-])ccc3ccccc23)c2ccccc12","ZMLWOOMWRCRLCH-UHFFFAOYSA-M",4,2,6,0.,14.272700504941172,8.187710612974024,6.096527017859179,4.349554172053661,3.0695259686306455,8,0,3,393.4000000000001,16,476.6328474494324,13.238080214920602,11,3,787
"Cc1ccc(Nc2ccc([O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1","XXQVCGHGQCAKKA-UHFFFAOYSA-M",3,2,6,0.047619047619047616,15.09285576098977,8.558471843521286,6.6647713915069815,4.72191207135895,3.3887784942892702,8,0,3,408.4110000000001,16,101.11300176267859,11.008444798747181,11,2,575
"CCN1C=CC(=Cc2ccc3ccccc3[n+]2CC)c2ccccc21","CJRNTVYQEXDVCB-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.99043125542385,6.279855117649672,4.891699834483594,3.626935882870268,2,2,3,327.451,13,240.25257992637745,13.69988583356507,11,2,593
"O=S(=O)([O-])c1cc([O-])c2c(N=Nc3ccc(Nc4ccccc4)c4c(S(=O)(=O)O)cccc34)cc(S(=O)(=O)[O-])cc2c1","QFVHZQCOUORWEI-UHFFFAOYSA-K",5,2,12,0.,20.823524040721,11.604402913256786,8.847219346552315,6.091979435277073,4.31689518147113,16,0,7,626.6260000000002,22,602.9866582526588,18.089634683522643,15,3,1393
"CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21","FYXWDSGGZAMYFZ-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450336,4.6054983446532916,3.3461032108325908,4,2,5,391.5850000000001,13,383.71941148050985,16.84957988886609,15,6,600
"CC(C)CCN1C=CC(=Cc2cc[n+](CCC(C)C)c3ccccc23)c2ccccc21","OPYVFVSPWOXGSM-UHFFFAOYSA-N",3,0,1,0.3448275862068966,19.3831083535905,11.698032308139359,9.472627609379815,6.122754871701822,4.2209106840181425,2,2,7,411.6130000000001,13,563.5079739051914,17.95489425937992,10,2,633
"CCN1C(=CC(C)=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21","DGBHUSPLAMIWPQ-UHFFFAOYSA-N",3,0,3,0.22727272727272727,15.398640026196999,9.066993943092914,6.337258801378483,4.607964447046072,3.404178719949552,4,2,4,379.57400000000007,12,421.254158814206,15.547694159414764,13,4,569
"CCN1C(=CC=CC=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21","PCMCPHHEWAWVOE-UHFFFAOYSA-N",3,0,1,0.13793103448275862,18.278295867975906,10.994514298021485,7.4181308734954445,5.556623486065906,4.054616229037848,2,2,6,405.56500000000017,16,978.3872391047997,20.555602546655873,18,8,813
"CC[N+]1=C(C=CC=C2N(CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21","YDNYBBRGPORVRT-UHFFFAOYSA-M",2,1,8,0.41935483870967744,24.954668510500564,14.140031674190991,11.91193101014111,8.400183608620091,6.153129148557574,12,2,11,629.7770000000003,15,520.4394649742162,19.597050589144995,14,4,506
